Video ID,Video Title,View Count,Like Count,Comment Count,YouTube Channel,Commenter Name,Comment,Comment Like Count
HTBgrg1GHxI,Historische Champions-League-Nacht: FC Bayern Frauen stehen erstmals im Halbfinale!,11994,217,6,FC Bayern Frauen,@ab-wd2py,Die erste ecke war doch klar abseits oder nicht?,0
HTBgrg1GHxI,Historische Champions-League-Nacht: FC Bayern Frauen stehen erstmals im Halbfinale!,11994,217,6,FC Bayern Frauen,@harrie205,deshlab gucke ich keine Regionalliga,2
HTBgrg1GHxI,Historische Champions-League-Nacht: FC Bayern Frauen stehen erstmals im Halbfinale!,11994,217,6,FC Bayern Frauen,@pascalbeisswenger8682,😍😍👍,1
HTBgrg1GHxI,Historische Champions-League-Nacht: FC Bayern Frauen stehen erstmals im Halbfinale!,11994,217,6,FC Bayern Frauen,@nicolasgabriel2020,😍,4
HTBgrg1GHxI,Historische Champions-League-Nacht: FC Bayern Frauen stehen erstmals im Halbfinale!,11994,217,6,FC Bayern Frauen,@miaherrlich1341,💯🔥,4
_WmmXFspikw,1:1 im UWCL-Viertelfinal-Hinspiel Slavia Prag - FC Bayern,1698,50,2,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,😍,0
_WmmXFspikw,1:1 im UWCL-Viertelfinal-Hinspiel Slavia Prag - FC Bayern,1698,50,2,FC Bayern Frauen,@sophiamuller1117,Sehr stark✔,1
RvNsyoQIsoc,Kunst und Kultur neben dem Fußballplatz: Die FCB-Frauen beim Museumsbesuch in Doha,7078,90,4,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,❤️,0
RvNsyoQIsoc,Kunst und Kultur neben dem Fußballplatz: Die FCB-Frauen beim Museumsbesuch in Doha,7078,90,4,FC Bayern Frauen,@corinnaeigen3221,Sind das frauen ?,0
RvNsyoQIsoc,Kunst und Kultur neben dem Fußballplatz: Die FCB-Frauen beim Museumsbesuch in Doha,7078,90,4,FC Bayern Frauen,@guennicopter,"Frauenfußball an die Macht...
Bin zwar BVB Fan aber da wir keine Frauenmanmschaft haben bin ich hier für die best-aussehendsten Frauen der Bundesliga.",2
RvNsyoQIsoc,Kunst und Kultur neben dem Fußballplatz: Die FCB-Frauen beim Museumsbesuch in Doha,7078,90,4,FC Bayern Frauen,@alexhuwae2550,Love to the Fc Bayern frauen❤️😘,1
yhepwK36SNs,FCB vs FCB: Das interne Testspiel der FC Bayern Frauen im Trainingslager in Doha,5048,124,2,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,💋,0
yhepwK36SNs,FCB vs FCB: Das interne Testspiel der FC Bayern Frauen im Trainingslager in Doha,5048,124,2,FC Bayern Frauen,@uwehollmann6186,"Ich wünsche Laura Benkrath alles Gute beim FC Bayern München, ich finde nur traurig das sie nichts mehr beim SC Freiburg ist
Ich wünsche den FC Bayern alles Gute für die Rückrunde
Nach Sc Freiburg sind meine Sympathie den FC Bayern,ich war früher einmsl ein Bayer bis ich ins Ländle über gesiedelt bin",4
tvSeruZoDtM,Trainingslager 2019: Anreise und Ankunft in Doha,2415,71,1,FC Bayern Frauen,@rch5452,Juhu ein neues Video👍,0
bQRK8ylwaTU,Die FC Bayern Frauen sagen Danke und wünschen frohe Weihnachten!,7489,198,7,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,🙏,0
bQRK8ylwaTU,Die FC Bayern Frauen sagen Danke und wünschen frohe Weihnachten!,7489,198,7,FC Bayern Frauen,@ahmedaswan7031,😚,0
bQRK8ylwaTU,Die FC Bayern Frauen sagen Danke und wünschen frohe Weihnachten!,7489,198,7,FC Bayern Frauen,@alvarolargo,Merry Christmas all Princess.,0
bQRK8ylwaTU,Die FC Bayern Frauen sagen Danke und wünschen frohe Weihnachten!,7489,198,7,FC Bayern Frauen,@papahorst,unsere fussballerinnen sind nicht nur sehr gut sondern auch die hübschesten,1
bQRK8ylwaTU,Die FC Bayern Frauen sagen Danke und wünschen frohe Weihnachten!,7489,198,7,FC Bayern Frauen,@jessieshields9822,hola  👄,0
bQRK8ylwaTU,Die FC Bayern Frauen sagen Danke und wünschen frohe Weihnachten!,7489,198,7,FC Bayern Frauen,@WildwoodClaire1,Frohe Weinachten!,1
bQRK8ylwaTU,Die FC Bayern Frauen sagen Danke und wünschen frohe Weihnachten!,7489,198,7,FC Bayern Frauen,@rch5452,👍,1
bYWUoC9JZow,UEFA Women's Champions League: FC Bayern Frauen stehen im Viertelfinale,5110,106,4,FC Bayern Frauen,@BioTurk,Jede A Jugend spielt besser Fussball,0
bYWUoC9JZow,UEFA Women's Champions League: FC Bayern Frauen stehen im Viertelfinale,5110,106,4,FC Bayern Frauen,@rch5452,Die gewinnen die Champions League 👍👍👍❤,4
vL_jYBsK0XY,UEFA Women's Champions League: Die Höhepunkte vom 2:0 gegen Zürich,4203,68,2,FC Bayern Frauen,@eliawickli,Zürcherinen,0
vL_jYBsK0XY,UEFA Women's Champions League: Die Höhepunkte vom 2:0 gegen Zürich,4203,68,2,FC Bayern Frauen,@AbseitsCHannel,"Wir haben die Stimmen zum Spiel eingefangen, inklusive Lina Magull: https://www.youtube.com/watch?v=vL_jYBsK0XY",1
HM9Si6OhrJk,4:0 gegen Subotica: Die Highlights vom CL-Achtelfinal-Einzug der FC Bayern Frauen,1841,59,1,FC Bayern Frauen,@BruceBebe,Wo ist Simone Laudehr?,0
MfJuZqEnsek,FC Bayern Frauen: unser Team - unsere Saison!,2279,78,4,FC Bayern Frauen,@ManuThiele,Viel Erfolg in der neuen Saison.,2
MfJuZqEnsek,FC Bayern Frauen: unser Team - unsere Saison!,2279,78,4,FC Bayern Frauen,@uwehollmann6186,Ich finde es schade das so wenig Frauen Bundesliga hier gezeigt wird,1
MfJuZqEnsek,FC Bayern Frauen: unser Team - unsere Saison!,2279,78,4,FC Bayern Frauen,@uwehollmann6186,Ich finde es schade das so wenig Frauen Bundesliga hier gezeigt wird,0
MfJuZqEnsek,FC Bayern Frauen: unser Team - unsere Saison!,2279,78,4,FC Bayern Frauen,@guennicopter,Der Bayern Frauen Kanal hat einfach 3x so viele abos wie der Männerkanal von RBL 😂,3
mtYu6pn3lg8,Kathrin Hendrich: Neuzugang bei den FC Bayern Frauen,7790,166,7,FC Bayern Frauen,@overkneestiefel,Kathrin ist die süßeste im Frauenfußball.,0
mtYu6pn3lg8,Kathrin Hendrich: Neuzugang bei den FC Bayern Frauen,7790,166,7,FC Bayern Frauen,@احمدالخفاجيإبنالناصرية,حاليا ما,0
mtYu6pn3lg8,Kathrin Hendrich: Neuzugang bei den FC Bayern Frauen,7790,166,7,FC Bayern Frauen,@wodzimierzradomski3993,Meinhertzfurfrauenbayernmunchen,1
mtYu6pn3lg8,Kathrin Hendrich: Neuzugang bei den FC Bayern Frauen,7790,166,7,FC Bayern Frauen,@pautec,machen die das hauptberuflich,0
mtYu6pn3lg8,Kathrin Hendrich: Neuzugang bei den FC Bayern Frauen,7790,166,7,FC Bayern Frauen,@benilaTV,Bin schon gespannt Sie live beim spielen zusehen. 💪🏼,0
mtYu6pn3lg8,Kathrin Hendrich: Neuzugang bei den FC Bayern Frauen,7790,166,7,FC Bayern Frauen,@tonikunz2027,"😍
Sehr gut!",0
mtYu6pn3lg8,Kathrin Hendrich: Neuzugang bei den FC Bayern Frauen,7790,166,7,FC Bayern Frauen,@MysTic4L_Chr1s,"Mel Leopolz und nun Kathrin in einen Team,die schönsten Fussballerinnen überhaupt *__*",6
nmLZQKjW0sk,Nicole Rolser verlängert vorzeitig beim FC Bayern,1792,59,1,FC Bayern Frauen,@ManuThiele,Top!,0
acwaPNbWELU,Highlights: FC Bayern Frauen vs. VfL Wolfsburg - 2:1,2692,66,3,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,💖,0
acwaPNbWELU,Highlights: FC Bayern Frauen vs. VfL Wolfsburg - 2:1,2692,66,3,FC Bayern Frauen,@arjunmohan7313,#Miasanmia support from India,1
