video_id,comment,author,like_count,published_at
V2_GU-0jNfw,❤❤❤,@เปาศุภโชค-ฌ8ช,0,2025-04-28T00:52:05Z
V2_GU-0jNfw,🔥🔥🔥,@3llakk,0,2025-04-28T00:46:10Z
V2_GU-0jNfw,❤❤❤❤,@ebenezerpatrick1999,0,2025-04-28T00:45:27Z
V2_GU-0jNfw,Ya gunners ✊🏼,@imranibrahim5386,1,2025-04-28T00:45:08Z
V2_GU-0jNfw,Well done Ladies. ❤❤❤,@chenwhyeming8296,2,2025-04-28T00:44:46Z
V2_GU-0jNfw,La ligne défensive de l'équipe Lyonnaise n'était pas au rendez-vous.,@JeanMichelValmont,0,2025-04-28T00:43:22Z
V2_GU-0jNfw,Wow.... possibility of double European champion,@kamalsyed3729,1,2025-04-28T00:41:19Z
V2_GU-0jNfw,Mariona & Allesia's Goals are just insane. the trickery they pulled and intricacies they faced are mind boggling. World Class Arsenal and it just goes to show. Foord with another fantastic show. ♥,@itsyunggrave,44,2025-04-28T00:39:06Z
V2_GU-0jNfw,was that Foord almost on the ground & still managing an assist for the goal?-brilliance,@MrByrdbath,1,2025-04-28T00:34:50Z
V2_GU-0jNfw,"Yes ladies! What a fightback, against a legendary side, the current holders, and in the away leg!!!!!!",@jay2xdam,3,2025-04-28T00:33:47Z
V2_GU-0jNfw,"Uwoooooow, Arsenal Women doing so great!!!!!",@rahmath.5629,1,2025-04-28T00:30:46Z
V2_GU-0jNfw,"Well done Arsenal W, although they did have the easier draw of the two English Clubs and they did get lucky at times, but took the chances presented them well.
Sadly, this is as far as Arsenal W are going to get.
Barcelona are far too strong for them, but they have done VERY well to get to the Final.",@neoxenon2976,0,2025-04-28T00:29:34Z
V2_GU-0jNfw,DVD playing im sure Arsenal could win any match. Please dont play Zingerburger anymore.,@srykextraodinairecreation9962,0,2025-04-28T00:28:27Z
V2_GU-0jNfw,come on boys,@Kessoku,0,2025-04-28T00:19:39Z
V2_GU-0jNfw,end of era lyonnnnn😂😂😂😂😂😂,@irwancbr7377,0,2025-04-28T00:17:15Z
V2_GU-0jNfw,All the. Best arsenal,@QwertyyuiopZxvbnnm,0,2025-04-28T00:14:34Z
V2_GU-0jNfw,"Semifinal femina Masuk final, tinggal nunggu arsenal laki laki masuk final,,",@adel8798,0,2025-04-28T00:14:16Z
V2_GU-0jNfw,เก่งมาก  ลูกสาวของผม,@jozebom,1,2025-04-28T00:14:06Z
V2_GU-0jNfw,Come back Queens,@felixeigbefo5384,1,2025-04-28T00:05:57Z
V2_GU-0jNfw,Arsenal clubs are doing well this season we need a cup,@BashirMbongo,0,2025-04-28T00:02:52Z
V2_GU-0jNfw,"Admin, can u please trim d videos a little, thank you",@eniyeikporo,0,2025-04-28T00:02:45Z
V2_GU-0jNfw,I knew they can do it. They have better players.,@AntiChannel1,1,2025-04-28T00:02:01Z
V2_GU-0jNfw,Fan to from Vietnam,@MloDen-x9l,1,2025-04-27T23:57:41Z
V2_GU-0jNfw,Buat fans arsenal jangan lupa merayakan prestasi juara 2 bertubi tubi,@bajaba4843,0,2025-04-27T23:51:33Z
V2_GU-0jNfw,"Barcelona menunggu di final,, sama halnya dengan para lelaki di final liga Champions",@LahNgapa-t7s,0,2025-04-27T23:51:31Z
V2_GU-0jNfw,"Congratulations to the Arsenal ladies ⚪🔴
We are really proud of you guys.
Hope the men can do the same and both team win it all.
COYG💪🏾",@tayoakingold104,24,2025-04-27T23:50:08Z
V2_GU-0jNfw,"I love these girls, I love this Team COYG ❤️🤍",@jasondave1976,0,2025-04-27T23:49:57Z
V2_GU-0jNfw,And then arsenal men to final,@adekurniawan3709,0,2025-04-27T23:49:15Z
V2_GU-0jNfw,What a performance. Well done!!,@likethenina,1,2025-04-27T23:41:57Z
V2_GU-0jNfw,OK you beat Lyon but you have to face the great team of Barcelona .and PSG should be to strong  for the mens team.,@stewartgrant7724,0,2025-04-27T23:40:42Z
V2_GU-0jNfw,"Increíble, se cayó el Lyon.  Es como la caída del Real Madrid, porque ellas eran el equipo más dominante de la competencia",@gabrielgarcia6336,0,2025-04-27T23:40:27Z
V2_GU-0jNfw,"Congratulations, we also hope our men’s team do the equivalent, well done👍🎉",@fastrack1418,0,2025-04-27T23:34:55Z
V2_GU-0jNfw,"beat france team in semi, face barca at final. hope men team can follow the same",@MuhammadFarhan-kd6ln,0,2025-04-27T23:33:43Z
V2_GU-0jNfw,"Gille oof, nightmare type game.",@kennethuyabeme,0,2025-04-27T23:33:17Z
V2_GU-0jNfw,"I enjoyed the come back, well played👏👍got into the game from the whistle👍",@nudgenudge4603,5,2025-04-27T23:33:06Z
V2_GU-0jNfw,"Chelsea won bá đạo Anh, ra C1 thì yếu quá",@Minhdanhvlog11,0,2025-04-27T23:22:54Z
V2_GU-0jNfw,The quality of womens football is terrible. Convince me otherwise,@gibbatron69,0,2025-04-27T23:22:35Z
V2_GU-0jNfw,All the haters who were dissing the league just coz Chelsea got trounced 😂,@ghsense2626,1,2025-04-27T23:18:46Z
V2_GU-0jNfw,I wouldn't be so invested in the women's game if it wasn't for Arsenal. Love these ladies what an inspiration,@100Provar,28,2025-04-27T23:17:56Z
V2_GU-0jNfw,"Congrats lads, Alot of Education🎓 input. in your Game, text book passes,..on the other side  Li women were just running towards different directions of the wind! COYG💪.. we don't negotiate, we act😎",@Ricky_J44,0,2025-04-27T23:16:58Z
V2_GU-0jNfw,Arsenal is cooking some rice 🍚 this season,@kofirandy,0,2025-04-27T23:16:54Z
V2_GU-0jNfw,Well done ladies.unbelievable performance,@RichardMorrison-k3x,1,2025-04-27T23:16:52Z
V2_GU-0jNfw,Amazing,@sharde8581,1,2025-04-27T23:14:32Z
V2_GU-0jNfw,🎉🎉,@michaelthevisionary,0,2025-04-27T23:13:28Z
V2_GU-0jNfw,Arteta needs Russo..,@richardgodwin6398,0,2025-04-27T23:12:36Z
V2_GU-0jNfw,"UEFA Youth league: Trobzonspor vs Barcelona 
UEFA Womens Champions league: Asenal vs Barcelona
UEFA 
Champions league: Arsenal vs Barcelona???",@lidya39,2,2025-04-27T23:10:18Z
V2_GU-0jNfw,Barcelona will conquer,@awofodutemitayo3340,0,2025-04-27T23:09:17Z
V2_GU-0jNfw,Lyon gifting Arsenal left right and centre.,@ExPoser-m2b,0,2025-04-27T23:08:58Z
V2_GU-0jNfw,Arsenal,@AdyRizky-h6m,0,2025-04-27T23:07:46Z
V2_GU-0jNfw,❤❤❤❤❤❤❤❤,@VukaniMde,1,2025-04-27T23:06:48Z
V2_GU-0jNfw,Defenders look confidence when the goaly is dvd. Never put zinberger start again in big match,@Pujaanggara_,0,2025-04-27T23:04:31Z
V2_GU-0jNfw,Even the feminine team knows how to defend😂,@gabrielnajah9329,1,2025-04-27T23:03:20Z
V2_GU-0jNfw,Unbelievable comeback from Arsenal women ❤️,@basketburger,1,2025-04-27T23:02:19Z
V2_GU-0jNfw,Chúc mừng,@haungo6567,2,2025-04-27T23:01:54Z
V2_GU-0jNfw,So proud of our ladies.....COYG ❤️,@HenryJSlim,1,2025-04-27T23:00:28Z
V2_GU-0jNfw,Comeback queens ❤,@Gizzystigernutjuice,2,2025-04-27T23:00:03Z
V2_GU-0jNfw,watch out PSG. U in danger..🔥🔥🔥 this season is ARSENAL SEASON,@weplay2350,0,2025-04-27T22:59:25Z
V2_GU-0jNfw,"wow arsenal comeback, wp",@DeBuDDi,0,2025-04-27T22:58:17Z
V2_GU-0jNfw,beating the almighty barca women is gonna be hella huge task. COYG,@whyahh,0,2025-04-27T22:57:42Z
V2_GU-0jNfw,สุดยอด คัมแบ็ค,@กิตติศักดิ์ศักดิ์ศรีกลม,1,2025-04-27T22:57:01Z
V2_GU-0jNfw,Proud ❤️🤍🏆,@kingkenzokwansa,1,2025-04-27T22:56:06Z
V2_GU-0jNfw,Erreur défenseuse,@JanelJeanjulien,0,2025-04-27T22:55:07Z
V2_GU-0jNfw,Congratulations ladies for the greatest come back ❤❤❤,@philkonbenco3197,1,2025-04-27T22:54:34Z
V2_GU-0jNfw,Men final is the same as women final Barcelona and Arsenal but Barcelona has the upper hand,@philkonbenco3197,0,2025-04-27T22:51:54Z
V2_GU-0jNfw,Barsa elimino al mejor equipo de Inglaterra y el arsenal al mejor equipo de Francia,@jhonjabercamayohenao6228,0,2025-04-27T22:50:47Z
V2_GU-0jNfw,Well done ladies ❤,@richardpetty6088,1,2025-04-27T22:49:34Z
V2_GU-0jNfw,COYG ♥,@ruthlevy3946,1,2025-04-27T22:48:31Z
V2_GU-0jNfw,McCabe stopped that shot in front of the goal with her head without fear; it looked like a cyborg was defending our goal post. Hahaha... Crazy.,@Uda007,4,2025-04-27T22:45:08Z
V2_GU-0jNfw,Ramondada queens🎉🎉🎉,@prosperousafrica,1,2025-04-27T22:44:00Z
V2_GU-0jNfw,¡Qué manera de cometer errores las del Olympique Lyonnais! ¡Campeonas del campoenato de errores!,@ManuelJerezKlopfer,0,2025-04-27T22:43:09Z
V2_GU-0jNfw,"Remontada, fixx...❤❤❤",@fgrdfr3627,0,2025-04-27T22:39:33Z
V2_GU-0jNfw,"So happy that Arsenal made it to the final.
While its true that Barcelona is a different story, a final has its own rules. Barcelona recently lost to Real Madrid and also to Manchester City at the beginning of the Champions League group stage, so anything is possible.",@lassam333,0,2025-04-27T22:39:03Z
V2_GU-0jNfw,coyg,@difahilaga2889,0,2025-04-27T22:38:18Z
V2_GU-0jNfw,"ARSENAL W VS BARCELONA W
ARSENAL M  VS  BARCELONA  M 
FINAL CHAMPIONS LEAGUE",@suldanaction3292,0,2025-04-27T22:35:57Z
V2_GU-0jNfw,Matan mu have made us proud!,@YahayaAhmed-h1x,0,2025-04-27T22:35:39Z
V2_GU-0jNfw,😳 they did it wow,@lieutenantcolombo1758,1,2025-04-27T22:35:30Z
V2_GU-0jNfw,Both of Arsenal team are beat up the King and Queen of UCL😂😂,@Apinn-v1u,0,2025-04-27T22:33:46Z
V2_GU-0jNfw,Commentators not got a clue the first shot we see is straight at keeper and we hear world class save then she comes for a corner fs it and not a word,@scottbrown3884,0,2025-04-27T22:33:30Z
V2_GU-0jNfw,❤❤❤❤❤🎉,@tunrayoalabi5008,0,2025-04-27T22:30:24Z
V2_GU-0jNfw,Very bad goal keeper on the first goal… on the second one… bad placement and very slow… and for a final gift from the defender… no words to add… a total waste of effort to reach the semi finals… what the f… happened to Lyon?,@Jaxes-g9l,1,2025-04-27T22:30:17Z
V2_GU-0jNfw,#Remontada 🔥🔥🔥🔥🔥🔥🔥🔥♥♥♥♥♥♥ #COYG,@reubenraphael3586,1,2025-04-27T22:30:14Z
V2_GU-0jNfw,¡Felicidades Arsenal!!! ¡Nos vemos en Lisboa el 24 de mayo!!!,@Henry_Kojo,4,2025-04-27T22:29:38Z
V2_GU-0jNfw,Easy win for Barcelona in final 🎉,@bertosantiago6770,1,2025-04-27T22:28:38Z
V2_GU-0jNfw,Arsenal male and female team are likely the champions this season,@emekaboscojr,0,2025-04-27T22:28:34Z
V2_GU-0jNfw,Mariona learnt rice's shooting 😂😂😂,@boluwatifeemmanuel4737,0,2025-04-27T22:27:39Z
V2_GU-0jNfw,congrats to Arsenal,@andystreet1479,0,2025-04-27T22:26:59Z
V2_GU-0jNfw,It looks like Arsenal wanted that game more than Lyon.,@jacquesstephen777,0,2025-04-27T22:26:58Z
V2_GU-0jNfw,❤❤❤❤❤,@adityabayuwardani5467,1,2025-04-27T22:25:02Z
V2_GU-0jNfw,Mariona Caldentey es una jugadora de talla mundial. Marca la diferencia tanto en la selección española como en el Arsenal. Puede ser Balón de Oro este año,@javiermarquez9098,0,2025-04-27T22:22:58Z
V2_GU-0jNfw,Kelly's deal should be made permanent,@naijafutboltv8704,0,2025-04-27T22:22:31Z
V2_GU-0jNfw,Just be quiet about the guys.The girls deserve 100 per cent praise to them selfs.The most underated player deserves her own praise.WELL PLAYED KATIE 😍,@duncanlewis5706,0,2025-04-27T22:18:40Z
V2_GU-0jNfw,Muy bien Arsenal. Ahora a ganar al farsa 😉,@anngg937,1,2025-04-27T22:18:35Z
V2_GU-0jNfw,Class,@jumpysalmon,1,2025-04-27T22:18:15Z
