video_id,comment
4568qaQCpEY,Solo Mariona podia ejecutar de manera el penal.
4568qaQCpEY,มันส์ มากกกก
4568qaQCpEY,Was macht der Torwart beruflich?
4568qaQCpEY,"Hatte es schon vor Wochen gesagt, die Ergebnisse täuschen, in der Liga und speziell international Bayern viel zu harmlos, schon beim Spielaufbau des Gegners, kein Anlaufen, Pressing, zu Fehler zwingen. Sobald Gegenspieler den Ball haben, wird oft stehen geblieben, kein Druck ausgeübt, zugeschaut, wie die Anderen ihr Spiel neu aufbauen,es fehlt die Aggressivität, der Wille! So wird es wahrscheinlich in der nächsten Runde nichts. Sehe keine Weiterentwicklung, ein Ball hin und her Geschiebe, links, rechts und zurück, keine Spielidee, ob der Trainer langfristig der Richtige ist??"
4568qaQCpEY,Corner arsenal!
4568qaQCpEY,"Mariona, puede meterte dos goles sin dejar de reirse, esta chica cada dia es mejor."
4568qaQCpEY,Bayern München sind und in München in der Schule und München womern 🎉🎉🎉🎉🎉🎉🎉
4568qaQCpEY,Bayern München und sind in der in München und München München und der beste 😊 7:43
4568qaQCpEY,Bayern München und München sind die ganze Zeit schon in München in 🎉😅
4568qaQCpEY,Bayern München und Frankfurt am Main und München sind in München in den Jahren nach dem 😂 7:43
4568qaQCpEY,Bayern ist eine ein guter Freund von der Frau in München oder so in München und in der Schule München und 🫵😝 womern
4568qaQCpEY,Arsenal 💪🏻
4568qaQCpEY,"i would say it was a 2-2 game, lucky to get a penalty so late."
4568qaQCpEY,"Das Spiel hat Arsenal nicht gewonnen, sondern die Bayern haben es aktiv verloren."
4568qaQCpEY,Solche Glücksdinger😅
4568qaQCpEY,Bellissima partita e super fortissima sempre alessia russo
4568qaQCpEY,Now we want to play Chelsea ladies next
4568qaQCpEY,"Far too much training, back and forth, pushing and above all playing back without need from FC Bayern. The midfield players had more of a pull to the back than to the front. Managing - that acts as a weakness for your own team and as an incentive for the opponent. That's boring for the viewer - as a viewer you switch off beforehand. The next day you have the proof in the result that this behavior was punished again."
4568qaQCpEY,"Viel zu viel Trainings Hin u Her Geschiebe  und vor allem Zurückspielen ohne Not vom FC Bayern. Die Mittelfeld Spielerinnen hatten eher den Zug nach hinten als nach vorn. Verwalten - das wirkt als Schwäche für die eigene Mannschaft und als Ansporn für den Gegner. Das ist langweilig für den Zuschauer - man schaltet als Zuschauer vorher ab. Am nächsten Tag hat man dann den Beweis im Ergebnis , dass dieses Verhalten wieder mal bestraft wurde."
4568qaQCpEY,Leider ziemlich lieblos zusammen geschnitten. Dazu nur der Livekommentar anstatt einer Zusammenfassung.
4568qaQCpEY,Rene has done an unbelievable job. Complete 180 from Jonas. Deserves the job full time.
4568qaQCpEY,"Jetzt auf den Torfrauen rumzuhacken find ich zu einfach, die Bedingungen waren extrem ungünstig. Der eiskalte Wind mit Sturmböen, dazu durchgehend  Sprühregen fast horizontal in der Luft, schränkten die Sichtverhältnisse stark ein (gücklicherweise nicht noch Nebel obendrauf). Sowohl Van Domselaar als auch Mahmutovic (zwei schwere Namen!) haben schon sehr gute Leistung in dieser Saison gezeigt, wobei Ena auch im Spiel gegen Italien einen riesen Fehler gemacht hat. Insgesamt muss sich Bayern München eine Kritik wegen zu hoher Unpräzision in den Pässen gefallen lassen, im Abwehrverhalten zu viele Zweikämpfe verloren (Hansen, Gwinn) und im Angriff falsche Entscheidungen (Harder, Bühl, Damnjamowic), die alle Bemühungen verpuffen ließen. Auch die sonst so starken Viggosdottir und Stanway blieben unter den Erwartungen. Trotzdem eine starke Leistung in der Champions League bis hierhin, Blick nach vorn und viel Erfolg!"
4568qaQCpEY,"Pity the game was at Meadow Park. Should have been at the Emirates. Nevertheless, I expected Arsenal to win this one. This is a completely different and better Arsenal than the one that lost 5-2 in Germany.

Bayern did not lose this group in London. They lost it after the draw in Norway. Those were highly expensive points thrown away. If Bayern had won in Norway, this 3-2 loss would still bring them the group victory due to head-to-head result. Now Bayern will face a group winner = Barcelona, Lyon or Chelsea. Just like the She-Wolves, who will face Barcelona, Arsenal or Chelsea.

Having said this, Bayern and the She-Wolves have to batter themselves up, otherwise quarter final will be their terminus and Barcelona, Lyon and two of the English teams will proceed to the semis.
On a positive note: quarters are March 2025, so there are still three months of time to improve."
4568qaQCpEY,That's ma galz❤
4568qaQCpEY,Great game
4568qaQCpEY,Zwei gute Mannschaften? Das erste Tor ... was macht die da? Und was machen die im Tor? Fragen über Fragen.
4568qaQCpEY,YOU FOUGHT FOR IT ❤❤❤
4568qaQCpEY,"Rene you've got my love, respect and support"
4568qaQCpEY,Zeit 07:18: der Strafstoß hätte wiederholt werden müssen da Spielerinnen beider Teams vor Ausführung des Strafstoßes in den 16m-Raum laufen. Damit verstoßen beide Parteien gegen die  Ausführungsbestimmungen.
4568qaQCpEY,Visca barca somos un imperio en el femeni
4568qaQCpEY,Arsenal 🔥
4568qaQCpEY,"also das erste tor ist ja mal wieder kompletter frauenfussball slapstick,die beiden torwärte sind jamal sowas von schlecht"
4568qaQCpEY,What did I just watch? Turgid football and goalkeepers that I just cannot believe get paid actual real money
4568qaQCpEY,"Arsenal en bueno en casa, pero fuera pierde la magia"
4568qaQCpEY,What a turn around this interim coach has done
4568qaQCpEY,Bayern should've played Tanikawa
4568qaQCpEY,"Pure Englische Fankultur bei 2:58, ein eigener Chant für van Domselaar. Gotta love traditional English fan culture, if only the tickets were still affordable for the dedicated, creative lot..."
4568qaQCpEY,Bayern hat sich heute selber geschlagen. In der Winterpause muss eine erstklassige Torfrau engagiert werden. Dann klappt es auch mit Titeln!
4568qaQCpEY,"Russo, awful defender, on fire in attack. Well done Arsenal, Kyra C-C is a weapon."
YDY9jOhaDMc,Juve❤
YDY9jOhaDMc,"That was the worst game from Vålerenga this season, what happened there? Attack was totally not functioning. Vålerenga Jenter what happened. We know You can way better then this. Hope lessons taken. Vi går, Vi går, Vi kjører. Dere er fantastiske, super sesong. VÅLERENGA, VI ER STOLTE AV DERE 🎉🎉🎉"
YDY9jOhaDMc,Lehmann! Schiess mal eine Flachball. Flachschuss immer!
YDY9jOhaDMc,"why does Lehmann look like she had a car crash at a chemical plant? Yuck 
also fire the commentator. or teach him the right pronunciation."
YDY9jOhaDMc,"Non era circondata, aveva spazio a volontà e ripeto poteva fermarsi. Oppure tirava al volo col destro... io avrei fatto così e sarebbe stato poker bianconero"
YDY9jOhaDMc,Nessuno che dice delle 200 presenze bianconere 🤍🖤 della mitica Bonansea ❤️
YDY9jOhaDMc,"Sofia Cantore potrebbe giocare nella prima squadra maschile come attaccante, senza sfigurare! 😍👏🏻 Grande sprinter Alisha e che palla che gli ha dato la Krumbiegel!"
YDY9jOhaDMc,Linda arbitra 😍
YDY9jOhaDMc,Anvedi il pallonetto di Sofia. 😍
